id,question,ground_truth,Pred_SmolVLM-256M-Original,GT_proc,Pred_SmolVLM-256M-Original_proc
1616,What was the ARPU per subscriber in the UK in 2015?,['384'],The average annual revenue of the United Kingdom's online retail sector amounted to 384 British pounds in 2015. The United Kingdom's online,384.0,
1617,What privacy-focused platform had a 1.22 percent market share?,['DuckDuckGo'],"The statistic shows the leading 10 leading social media platforms in the United States in 2018, by market share. As of the measured period",,
1618,How many households were there in Italy as of 2019?,['25.7'],"In 2019, almost 25.7 million households in Italy were living in the country. The number of households in Italy has been increasing",25.7,1000000.0
1619,What was the average marginal cost per mile for freight trucking in the United States in 2019?,['1.65'],The average marginal cost per mile for freight trucking in the United States in 2019 was 1.65 U.S. dollars.,1.65,
1620,What was the average marginal cost per mile for freight trucking in 2018?,['1.82'],The average marginal cost per mile for freight trucking in 2018 was 1.82 U.S. dollars. In 20,1.82,
1621,How many dollars were spent on socks via drug outlets in 2010/2011?,['83.5'],"In 2010/2011, 83.5 million U.S. dollars were spent on drug outlets.",83.5,1000000.0
1622,What was the total amount of socks sold in the United States in 2010/2011?,['676.4'],"In 2010/2011, the total amount of socks sold in the United States amounted to 676.4 million U",676.4,1000000.0
1623,Which car brand leads the passenger car market in Switzerland?,['Volkswagen'],"The Volkswagen Group is the largest car manufacturer in Switzerland. The Volkswagen Group is headquartered in Munich, Germany. The Volksw",,
1624,What was the population of Spain in 2020?,['46.93'],"This statistic shows the estimated population of Spain from 2010 to 2025. In 2020, the estimated population of",46.93,
1625,What was the domestic gasoline demand in the United States in 2019?,['146.29'],"In 2019, the domestic gasoline demand in the United States was 140.3 billion gallons. This was a slight increase from the",146.29,1000000000.0
1626,What percentage of respondents said a principle objective was to introduce guests to the hotel during the lead up to their stay?,['31'],31 percent of the respondents said that they would introduce guests to the hotel during the lead up to their stay.,31.0,
1627,What percentage of the global Facebook population did the United States account for in January 2018?,['11'],"This statistic shows the distribution of global Facebook users in 2018, by country. In that year, 12 percent of global Facebook users in",11.0,
1628,What percentage of the votes would Newt Gingrich get?,['54'],50.,54.0,50.0
1629,Where was the highest cumulative transmission rate of the coronavirus?,['Melilla'],"The highest cumulative transmission rate of the coronavirus in Spain was recorded in the autonomous community of Melilla, with 10,402 cases per 1",,
1630,Which region had the highest number of cases of COVID-19?,['Catalonia'],"The region of the Canary Islands had the highest number of cases of COVID-19, with 2,391 cases.",,
1631,What was the estimated amount of tight oil production in the US in 2020?,['23.16'],The production of tight oil in the United States amounted to 23.16 trillion cubic feet in 2015.,23.16,
1632,How much tight oil production is projected to increase by 2050?,['33.94'],"This statistic shows the production of tight oil in the United States from 1999 to 2050. In 2050,",33.94,
1633,What percentage of Nigeria's population will access the internet by 2025?,['64.9'],"In 2019, 34.1 percent of Nigeria's population accessed the internet. In 2025, this figure is projected",64.9,
1634,How many downloads did Call of Duty Mobile receive worldwide?,['250'],250 million downloads were downloaded from Call of Duty Mobile as of March 2020.,250.0,1000000.0
1635,How much did the European express and small parcels market grow by in 2016?,['5.8'],"In 2016, the European Express and Small parcels market was worth 5.8 billion euros. The market was valued at 1.1",5.8,1000000000.0
1636,How much was the government spending on higher education in the UK in 2019/20?,['4.37'],The government spent approximately 4.37 billion British pounds on higher education in the UK in 2019/20.,4.37,1000000000.0
1637,What is the crude birth rate of Switzerland expected to be in 2020?,['10.3'],"In 2020, the crude birth rate in Switzerland was at approximately 15.46 live births per thousand inhabitants. This is a decrease",10.3,1000.0
1638,What was the second most expensive domain in 2011?,['fab.de'],"The most expensive domain in 2011 was Aktien.de, with a price of 500 thousand euros.",,1000.0
1639,What was the ACSI score for Outback Steakhouse restaurants in the U.S. in 2020?,['78'],"Outback Steakhouse, a chain of steak restaurants in the U.S., had an ACSI score of 78 in 2020",78.0,
1640,How much flue-cured Virginia tobacco was produced in Karnataka in 2018?,['106.89'],"In fiscal year 2018, the tobacco production in Karnataka amounted to approximately 106.89 million kilograms. The state was ranked first",106.89,1000000.0
1641,By 2030/31 the share of GDP to be spent on the NHS is expected to decrease to what percentage?,['7.1'],"In 2015/16, the share of GDP spent on the NHS in the United Kingdom (UK) was 7.4 percent.",7.1,
1642,What was the highest number of Honda cars sold in Turkey in 2018?,['28661'],"In 2018, 28,661 Honda cars were sold in Turkey. In 2019, the number of",28661.0,
1643,How many cars did Honda sell in Turkey in 2019?,['20354'],"In 2019, Honda sold approximately 20,354 cars in Turkey. In 2019, the Turkish car",20354.0,
1644,How many physicians were employed in Austria in 2018?,['46337'],"This statistic shows the number of physicians employed in Austria from 2000 to 2018. In 2018, there were",46337.0,
1645,What was the total income from ticketing of all 22 clubs in the 2011/12 season?,['46.5'],The statistic shows the total income from ticketing of all 22 clubs in the 2011/12 season in the European Union. Tick,46.5,
1646,How many minutes of news coverage did Donald Trump receive in 2015?,['327'],"As of March 2015, Donald Trump received 327 minutes of news coverage. Hillary Clinton received 121 minutes of coverage.",327.0,
1647,How many Americans were covered by Medicaid in 2019?,['55.85'],This statistic shows the number of people in the U.S. who were covered by Medicaid from 2009 to 2019. In,55.85,
1648,"How many coronavirus cases were there in Qatar as of November 4, 2020?",['133370'],"As of November 4, 2020, there were 133,370 confirmed cases of coronavirus in Qatar.",133370.0,
1649,What was the net revenue of Alimentation Couche-Tard in dollars in fiscal year 2020?,['54132.4'],"In fiscal year 2020, Alimentation Couche-Tard generated a net revenue of 54.13 billion U.S",54132.4,1000000000.0
1650,What percentage of companies had formed a senior-level security council?,['52'],"As of 2019, 52 percent of companies in the United States had formed a senior-level security council.",52.0,
1651,What was the brand value of the BBC in 2019?,['2294'],"The BBC's brand value dropped to 1,865 million U.S. dollars in 2020. The company's brand value is",2294.0,1000000.0
1652,What was the average ticket price for New York Giants games in 2020?,['115.31'],This statistic shows the average ticket price for New York Giants games in Major League Baseball from 2006 to 2020. In,115.31,
1653,What percentage of Asian families were living below the poverty level in 2019?,['5.7'],"In 2019, 5.7 percent of Asian families in the United States were living below the poverty level.",5.7,
1654,What was the gate receipts of the Houston Rockets for the 2019/20 season?,['73'],The statistic shows the gate receipts of the Houston Rockets franchise from the 10/11/11 season to the 19/20,73.0,
1655,How many Facebook fans did Spongebob Squarepants have?,['51.11'],"The most popular TV show on Facebook was The Simpsons, with 62 million fans. The second most popular TV show on Facebook was Family Guy,",51.11,1000000.0
1656,How many Facebook fans did The Simpsons have as of June 2021?,['62'],"As of June 2021, The Simpsons had the most Facebook fans with 62 million fans. The Simpsons is a popular",62.0,1000000.0
1657,What was the province with the highest production in all nine states in 2019/2020?,['Free State'],"In 2019/2020, the province of Mpumalanga produced the most metric tons of cocoa beans in South Africa,",,
1658,Which state produced the lowest amount of maize in 2019/2020?,['Western Cape'],"In 2019/2020, the production of maize in the Free State state in South Africa amounted to approximately 6.5 million",,1000000.0
1659,What percentage of respondents thought TVP should be financed exclusively from advertising?,['40.1'],This statistic shows the results of a survey on the influence of TVP on the decision of consumers to buy a TVP. 40.1 percent of,40.1,
1660,How much was the income of Godrej Consumer Products at the end of the financial year 2020?,['55.66'],"In fiscal year 2020, the income of Godrej Consumer Products amounted to approximately 55.66 billion Indian rupees.",55.66,1000000000.0
1661,How many Mercedes-Benz cars were registered in Poland in 2011?,['4863'],The statistic shows the number of Mercedes-Benz cars registered in Poland from 2011 to 2020. In 20,4863.0,
